QUOTE_DATE,UNDERLYING_LAST,EXPIRE_DATE,EXPIRE_UNIX,DTE,C_DELTA,C_GAMMA,C_VEGA,C_THETA,C_RHO,C_IV,C_VOLUME,C_LAST,C_SIZE,C_BID,C_ASK,STRIKE,STRIKE_DISTANCE,STRIKE_DISTANCE_PCT,Percentage Change C_LAST,Percentage Change UNDERLYING_LAST,Percentage Gain C_LAST,Percentage Gain UNDERLYING_LAST,Days to Max C_LAST,Days to Max UNDERLYING_LAST
2018-01-30,166.97,2019-01-18,1547845200,353.0,0.21687,0.00692,0.4824,-0.01703,0.30235,0.25879,255.0,4.75, 233 x 228,4.55,4.81,210.0,43.0,0.258,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2018-02-01,167.78,2019-01-18,1547845200,351.0,0.21189,0.00705,0.47773,-0.0164,0.29852,0.2496,343.0,4.35, 7 x 20,4.1,4.74,210.0,42.2,0.252,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2018-02-02,160.23,2019-01-18,1547845200,350.0,0.16458,0.00618,0.38908,-0.01416,0.22144,0.25235,660.0,3.1, 18 x 80,3.0,3.2,210.0,49.8,0.311,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2018-02-05,156.49,2019-01-18,1547845200,347.0,0.16118,0.006,0.37359,-0.0149,0.21079,0.26936,285.0,3.1, 4 x 6,2.95,3.3,210.0,53.5,0.342,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2018-02-09,156.41,2019-01-18,1547845200,343.0,0.1473,0.00579,0.35007,-0.01353,0.19034,0.26261,586.0,2.76, 7 x 5,2.63,2.8,210.0,53.6,0.343,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2018-02-12,162.71,2019-01-18,1547845200,340.0,0.15892,0.00646,0.3819,-0.01357,0.21462,0.23712,53.0,2.88, 10 x 24,2.75,2.89,210.0,47.3,0.291,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2018-02-13,164.35,2019-01-18,1547845200,339.0,0.17143,0.0067,0.40413,-0.01409,0.23159,0.24098,824.0,3.2, 302 x 29,3.11,3.25,210.0,45.7,0.278,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2018-02-14,167.37,2019-01-18,1547845200,338.0,0.18731,0.00702,0.43513,-0.01522,0.25702,0.23703,281.0,3.55, 43 x 287,3.51,3.61,210.0,42.6,0.255,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2018-02-15,172.99,2019-01-18,1547845200,337.0,0.23091,0.00761,0.50728,-0.01783,0.32213,0.24025,305.0,4.85, 305 x 55,4.74,4.9,210.0,37.0,0.214,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
2018-02-20,171.85,2019-01-18,1547845200,332.0,0.21763,0.0076,0.48371,-0.01717,0.29879,0.23712,46.0,4.43, 364 x 148,4.3,4.46,210.0,38.2,0.222,-99.47368421052632,8.871193070690149,0,63.84691427764439,No Gains,540 days
